# cx cy
326.57 61.73
417.43 58.17
264.39 123.41
548.19 121.86
722.29 72.56
1191.10 54.07
990.50 137.80
1141.58 121.75
240.92 200.16
624.30 196.02
192.58 281.99
551.43 286.52
1032.73 196.36
1104.11 178.85
1019.97 278.92
1330.90 279.01
1657.91 55.37
0.00 0.00
1593.35 122.57
2114.38 140.42
2190.02 56.95
2757.89 49.70
2150.49 106.04
2691.38 125.26
1512.51 200.56
2071.49 203.61
1607.77 271.01
1965.27 268.97
2304.22 224.85
2639.12 203.47
2322.12 267.09
2658.87 260.49
201.24 331.80
460.72 328.50
0.00 0.00
0.00 0.00
1024.41 347.01
1329.95 313.50
932.69 423.78
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
855.93 495.53
0.00 0.00
794.89 573.22
0.00 0.00
1475.84 323.99
1861.06 310.29
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
