# cx cy
0.00 0.00
427.40 91.25
297.07 170.95
478.53 167.92
0.00 0.00
1112.05 103.49
922.37 174.43
1096.98 155.30
237.86 270.58
587.92 266.05
174.84 393.93
514.83 385.93
952.49 273.93
1064.25 226.77
873.87 382.61
1391.12 425.08
0.00 0.00
1844.89 59.55
1714.94 183.91
1773.22 130.68
2352.77 102.58
0.00 0.00
2281.19 162.72
2727.86 176.27
1618.00 276.08
2096.16 320.02
1555.36 389.35
1968.84 401.84
2164.38 267.74
2653.92 271.16
2251.09 411.04
2562.24 393.07
224.75 452.48
425.12 453.09
0.00 0.00
619.71 610.99
823.26 485.24
1343.56 467.61
746.53 590.38
0.00 0.00
0.00 0.00
581.54 699.89
0.00 0.00
490.32 809.96
707.18 651.17
0.00 0.00
0.00 0.00
0.00 0.00
1559.94 462.46
1914.79 450.96
0.00 0.00
0.00 0.00
2312.55 451.86
2573.85 440.58
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
