# cx cy
0.00 0.00
381.46 97.07
295.50 154.16
397.44 138.30
0.00 0.00
1061.00 99.00
1001.73 163.81
1052.79 130.12
234.24 252.65
516.14 245.28
152.54 332.05
576.99 342.93
923.22 242.71
0.00 0.00
867.77 351.70
1338.09 360.63
1674.50 63.71
0.00 0.00
1597.19 150.56
2060.82 189.66
2164.69 72.73
2719.48 54.70
2110.60 145.79
2641.99 149.25
1515.61 243.87
2022.59 244.95
1551.23 349.61
1912.99 346.71
2172.37 231.22
2577.48 248.46
2242.54 331.94
2573.58 320.17
210.53 429.39
452.84 428.95
0.00 0.00
674.08 568.21
861.28 435.58
1269.46 406.87
773.22 535.26
0.00 0.00
0.00 0.00
618.24 620.85
0.00 0.00
602.01 724.99
731.40 627.28
0.00 0.00
698.14 683.78
0.00 0.00
1465.64 404.00
1816.92 393.74
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
