# cx cy
342.78 66.55
457.39 34.60
256.62 124.84
591.66 129.46
0.00 0.00
0.00 0.00
823.90 118.43
1168.71 131.17
194.83 201.60
613.91 198.24
201.29 291.45
487.31 287.82
1039.34 210.05
1131.25 183.15
953.97 276.23
0.00 0.00
0.00 0.00
1881.49 75.39
1787.60 134.93
1850.37 97.52
0.00 0.00
0.00 0.00
2373.00 159.56
0.00 0.00
1690.27 204.23
0.00 0.00
1582.05 281.50
2169.70 307.87
2315.88 202.29
2858.87 214.36
2226.94 272.26
2781.37 282.90
279.20 328.29
447.26 331.46
0.00 0.00
719.05 473.38
933.78 349.94
1404.69 369.13
841.38 442.63
1351.05 419.54
0.00 0.00
665.08 518.14
0.00 0.00
636.87 609.58
795.64 520.30
0.00 0.00
743.05 571.40
0.00 0.00
1657.07 372.01
2030.53 373.30
1639.55 415.23
1960.90 408.72
2346.50 381.94
2671.17 368.24
2393.36 413.64
2730.56 403.95
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
