# cx cy
304.53 79.62
407.12 65.40
295.37 119.29
486.73 123.80
0.00 0.00
1218.94 78.19
705.36 138.04
1169.14 119.94
238.62 203.37
566.94 189.89
167.08 272.25
552.10 272.28
1022.85 210.21
1096.84 176.01
997.31 278.65
1095.11 282.42
0.00 0.00
1813.17 47.01
1708.41 130.90
1757.65 94.14
2245.42 69.39
2749.47 66.39
2186.86 119.42
2685.63 121.55
1625.78 195.24
2071.92 217.02
1560.26 277.85
1949.36 281.24
2117.30 181.46
2616.90 192.54
2253.03 277.27
2580.24 262.32
209.46 332.93
450.84 334.13
0.00 0.00
0.00 0.00
972.19 344.90
1347.79 333.99
871.66 417.83
0.00 0.00
0.00 0.00
685.25 530.88
0.00 0.00
670.75 575.35
797.56 490.84
0.00 0.00
747.42 562.14
0.00 0.00
1565.27 333.37
1824.19 318.50
0.00 0.00
0.00 0.00
2400.33 316.15
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
