# cx cy
0.00 0.00
0.00 0.00
364.00 213.00
416.66 197.83
0.00 0.00
0.00 0.00
0.00 0.00
1138.88 202.85
294.26 269.37
567.92 269.00
194.85 359.89
596.78 371.06
1024.06 277.80
1121.45 247.89
954.97 370.74
1383.06 380.93
1784.71 94.25
1846.73 49.23
1704.51 163.76
0.00 0.00
0.00 0.00
2874.83 104.94
2252.65 166.39
2795.99 167.66
1582.03 267.40
2128.53 281.38
1635.22 372.48
1999.99 364.45
2274.33 258.65
2669.76 274.24
2329.17 347.36
2667.83 328.88
206.40 461.23
469.61 453.85
0.00 0.00
696.07 602.39
908.75 469.01
1304.93 434.86
806.68 566.59
0.00 0.00
0.00 0.00
645.42 679.84
0.00 0.00
584.58 777.89
752.19 650.30
0.00 0.00
0.00 0.00
0.00 0.00
1475.58 428.91
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
