# cx cy
0.00 0.00
0.00 0.00
314.62 153.81
484.82 151.06
0.00 0.00
0.00 0.00
1069.50 181.50
1141.33 147.35
238.11 231.80
634.42 228.30
156.25 325.75
529.97 322.19
1020.27 236.09
1098.03 200.24
965.39 325.66
1388.72 335.87
1755.00 66.93
1803.64 28.99
1677.86 134.90
2125.10 173.99
2235.53 88.58
2792.73 66.55
2188.51 132.81
2734.96 143.46
1572.02 230.88
2083.02 224.68
1608.42 324.32
1979.94 315.62
2403.46 261.57
2649.29 239.10
2315.06 308.01
2651.09 287.37
238.83 380.48
464.69 377.40
0.00 0.00
711.26 535.13
951.24 405.06
1313.64 378.64
835.58 494.03
0.00 0.00
0.00 0.00
672.90 581.16
0.00 0.00
651.02 680.63
807.10 582.80
0.00 0.00
743.72 650.29
0.00 0.00
1510.27 379.81
1845.50 361.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
