# cx cy
324.23 69.20
440.86 41.15
253.41 154.52
548.56 146.55
772.58 91.11
1215.87 74.63
937.88 140.54
1155.69 135.10
178.56 224.08
627.68 231.69
221.15 322.10
483.19 329.84
999.59 225.22
1105.66 193.39
925.56 334.77
1414.92 347.89
1807.49 86.68
1840.06 70.36
1734.56 140.98
0.00 0.00
0.00 0.00
0.00 0.00
2303.32 157.45
2896.65 179.15
1609.38 237.90
2149.95 253.98
1558.56 327.27
2074.76 322.82
2224.84 216.48
2823.10 230.46
2518.00 370.00
2705.52 327.43
0.00 0.00
430.65 371.57
0.00 0.00
670.99 512.80
879.64 420.05
1358.41 408.55
802.61 500.22
0.00 0.00
0.00 0.00
633.10 604.55
0.00 0.00
577.21 693.78
751.01 573.69
0.00 0.00
0.00 0.00
0.00 0.00
1651.40 398.65
2014.18 402.23
0.00 0.00
0.00 0.00
2370.20 412.29
2653.69 409.82
2464.92 462.83
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
