# cx cy
355.00 110.00
417.68 90.13
294.76 164.68
426.89 163.59
0.00 0.00
1218.57 89.26
748.09 176.65
1146.75 163.65
238.66 275.72
629.95 260.19
215.38 377.70
490.49 382.59
993.98 261.60
1090.33 234.37
1006.81 372.19
1289.83 378.24
1715.06 82.95
1772.13 36.56
1638.94 157.79
2088.64 204.73
2236.22 64.98
2729.73 83.17
2150.50 157.37
2679.73 166.27
1531.04 274.51
2008.61 285.44
1573.26 351.01
1850.73 348.53
2241.86 292.00
2579.36 281.23
2279.26 324.63
2450.75 323.91
86.45 440.66
0.00 0.00
0.00 0.00
0.00 0.00
959.30 482.70
0.00 0.00
848.96 577.72
0.00 0.00
0.00 0.00
673.76 694.95
0.00 0.00
645.04 807.16
795.92 674.49
0.00 0.00
740.66 771.24
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
