# cx cy
338.81 73.92
435.68 46.05
261.42 125.79
465.97 132.05
803.06 77.62
1248.44 58.59
766.31 122.57
1166.11 127.64
206.82 207.92
628.35 203.90
185.51 292.48
514.20 299.08
1021.85 206.45
1102.56 176.06
999.54 291.01
1379.20 304.45
1759.21 68.25
1813.43 32.65
1679.98 128.18
2135.94 164.19
2251.05 77.14
2817.32 68.40
2195.21 123.82
2752.37 125.51
1577.32 208.14
2097.56 210.16
1601.38 292.17
1977.53 292.07
2257.12 218.38
2663.71 217.27
2304.75 284.88
2625.13 271.27
204.69 333.99
432.55 337.68
0.00 0.00
706.75 484.02
931.78 374.30
1290.96 347.72
819.45 447.67
0.00 0.00
0.00 0.00
654.21 529.32
0.00 0.00
620.48 615.90
778.94 533.07
0.00 0.00
726.15 578.32
0.00 0.00
1490.32 341.61
1846.30 329.44
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
