# cx cy
350.26 88.82
423.49 70.86
280.02 140.11
509.05 145.68
0.00 0.00
1145.67 68.70
1012.48 145.46
1101.14 130.75
204.99 216.98
603.37 223.39
202.82 313.59
461.94 319.44
953.05 217.87
1060.12 181.62
886.80 315.99
1358.35 332.14
1750.89 86.80
1811.36 48.87
1684.05 141.16
1762.06 95.00
0.00 0.00
0.00 0.00
2230.71 146.02
2777.67 167.92
1575.15 224.46
2085.33 245.91
1535.42 317.03
1978.43 327.28
2148.75 205.85
2711.34 227.91
2285.03 342.06
2612.47 322.03
0.00 0.00
503.14 364.05
152.50 499.50
642.44 493.72
831.63 405.16
1313.57 378.05
756.27 479.86
0.00 0.00
0.00 0.00
598.78 575.85
0.00 0.00
522.53 663.21
717.44 540.14
0.00 0.00
0.00 0.00
0.00 0.00
1582.25 374.27
1895.85 367.93
0.00 0.00
0.00 0.00
2304.35 369.28
2621.66 364.07
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
