# cx cy
341.94 68.79
457.62 38.61
257.11 123.63
452.22 128.27
0.00 0.00
1228.67 75.04
849.52 135.54
1175.87 118.66
217.13 201.86
645.86 198.06
211.05 277.65
514.16 287.49
1006.58 205.05
1139.09 188.93
969.14 284.52
1411.43 299.75
1776.00 64.68
1813.28 56.66
1692.38 124.44
0.00 0.00
2370.25 81.02
0.00 0.00
2307.40 122.59
2874.53 157.04
1592.56 198.27
2151.45 221.08
1540.99 283.86
2098.12 287.63
2218.16 197.56
2808.75 199.80
2183.72 284.65
2716.65 280.75
232.42 318.93
502.72 323.26
0.00 0.00
700.97 450.20
910.71 363.27
1328.46 351.48
828.21 424.49
0.00 0.00
0.00 0.00
641.59 509.31
0.00 0.00
644.82 593.05
782.74 511.06
0.00 0.00
738.03 557.48
0.00 0.00
1660.02 347.81
1967.55 340.42
0.00 0.00
0.00 0.00
2350.27 349.77
2638.15 357.38
2441.60 398.99
2744.98 399.04
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
