# cx cy
0.00 0.00
474.94 63.42
293.99 153.47
488.34 147.29
0.00 0.00
1149.28 71.95
882.92 154.55
1099.21 138.35
232.75 242.63
582.46 231.83
200.72 342.28
480.45 345.81
958.31 226.30
1360.65 275.83
922.10 325.48
1297.84 332.57
1660.25 61.36
2073.96 88.51
1562.18 143.47
2024.61 143.79
2122.82 49.35
2723.81 56.41
2086.30 99.90
2642.82 151.28
1476.89 247.82
1951.49 254.65
1576.88 313.27
1871.57 298.26
2241.73 265.28
2582.58 238.05
2225.94 295.66
2682.41 286.90
174.38 388.36
435.94 388.14
0.00 0.00
634.42 524.88
829.90 435.85
1174.63 382.78
767.85 513.42
0.00 0.00
0.00 0.00
585.41 621.08
0.00 0.00
543.89 710.74
718.48 590.22
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
