# cx cy
323.10 61.38
393.12 39.08
266.61 130.52
517.40 130.22
753.14 80.20
1141.35 70.71
868.65 128.03
1089.92 113.40
199.01 203.14
606.66 207.94
210.33 287.17
473.30 286.30
961.76 202.96
0.00 0.00
952.95 278.33
1321.84 295.05
1718.09 73.27
1761.59 49.55
1641.71 126.95
2078.27 163.45
2213.52 77.49
2758.49 78.58
2154.88 126.01
2711.34 123.40
1522.90 207.10
2042.66 212.85
1562.29 286.29
1915.06 289.41
2099.32 180.80
2632.16 210.37
2240.50 294.68
2563.53 286.41
0.00 0.00
0.00 0.00
0.00 0.00
689.85 485.31
886.77 372.62
1239.30 333.68
783.95 451.16
0.00 0.00
0.00 0.00
650.79 533.17
0.00 0.00
599.99 612.53
734.16 523.95
0.00 0.00
0.00 0.00
0.00 0.00
1462.37 337.68
0.00 0.00
0.00 0.00
0.00 0.00
2385.75 336.78
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
