# cx cy
345.51 80.71
427.16 59.61
280.81 138.77
572.73 134.61
1074.65 83.19
1152.79 60.96
1026.36 141.37
1121.66 121.52
183.55 213.32
607.97 214.29
200.39 304.05
486.48 307.95
950.52 203.84
1434.40 248.13
880.66 304.69
1354.14 301.58
1729.94 53.58
0.00 0.00
1612.60 135.74
2153.80 163.92
2274.46 87.57
2856.67 67.92
2220.28 126.71
2757.97 132.95
1521.79 211.77
2090.14 214.71
1621.24 312.41
1997.10 305.56
0.00 0.00
2667.55 224.23
2332.24 308.93
2623.95 284.80
300.41 342.69
426.33 352.56
0.00 0.00
666.31 466.90
821.29 391.73
1332.78 357.79
771.95 462.70
0.00 0.00
0.00 0.00
627.86 550.65
0.00 0.00
562.29 635.51
734.84 516.22
0.00 0.00
0.00 0.00
0.00 0.00
1616.91 347.47
1824.57 344.69
0.00 0.00
0.00 0.00
2392.89 348.95
0.00 0.00
0.00 0.00
0.00 0.00
1677.64 585.09
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
