# cx cy
0.00 0.00
482.07 66.69
289.18 171.62
437.24 153.65
0.00 0.00
1241.75 76.34
833.37 171.87
1152.95 156.56
206.75 267.11
610.51 261.99
199.99 351.49
494.28 361.04
941.94 246.90
1102.23 226.40
964.51 362.16
1343.76 369.81
1741.14 88.38
1804.29 40.75
1647.66 163.33
0.00 0.00
2263.50 107.13
0.00 0.00
2201.87 162.17
2754.89 169.66
1524.14 263.07
2068.04 269.18
1605.02 357.17
1954.59 361.44
2149.27 226.70
2652.49 262.07
2291.05 362.37
2601.56 348.16
0.00 0.00
0.00 0.00
0.00 0.00
667.60 587.08
869.97 477.50
1257.68 422.15
786.52 557.77
0.00 0.00
0.00 0.00
606.72 678.09
0.00 0.00
549.08 774.83
736.89 645.75
0.00 0.00
0.00 0.00
0.00 0.00
1426.72 418.93
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
