# cx cy
367.33 88.83
409.73 82.04
305.95 132.43
493.45 134.94
0.00 0.00
1167.25 88.18
1020.76 148.98
1147.05 125.76
251.05 225.60
600.47 209.66
201.11 304.13
555.75 309.65
1007.97 207.90
1123.37 184.92
954.43 311.94
1377.59 307.21
1749.73 50.20
1810.33 16.83
1639.82 131.10
2145.72 157.91
2247.43 73.67
2880.25 86.14
2200.83 119.73
2825.21 132.55
1525.02 220.41
2082.54 215.36
1613.24 316.90
2008.20 310.62
2488.22 256.32
2721.95 223.46
2358.53 311.06
2686.95 292.18
224.71 366.05
471.71 364.35
0.00 0.00
704.55 491.10
919.72 391.16
1327.72 370.87
827.12 459.09
0.00 0.00
0.00 0.00
645.39 548.12
0.00 0.00
644.04 640.01
789.00 552.46
0.00 0.00
740.29 603.22
0.00 0.00
1648.01 351.28
1865.35 354.79
0.00 0.00
0.00 0.00
2335.81 345.83
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
