# cx cy
317.71 67.82
406.64 42.93
258.54 133.95
563.38 131.91
944.78 76.11
1103.03 43.80
903.63 130.21
1061.94 108.05
167.83 210.76
607.34 205.46
199.67 281.75
456.45 290.14
865.19 205.49
1362.64 242.02
864.15 282.42
1286.27 292.91
1631.31 55.04
0.00 0.00
1541.35 127.89
2055.33 162.68
2170.22 78.77
0.00 0.00
2120.24 126.36
2698.59 147.37
1438.24 208.84
2017.46 211.14
1523.60 307.04
1905.34 304.43
2072.35 177.99
2629.32 214.84
2238.35 317.09
2526.05 297.52
0.00 0.00
679.93 407.99
0.00 0.00
608.86 449.65
783.87 379.19
1281.57 352.93
734.57 448.95
0.00 0.00
0.00 0.00
580.78 534.21
0.00 0.00
516.21 615.44
698.74 499.42
0.00 0.00
0.00 0.00
0.00 0.00
1592.65 348.74
1865.00 342.30
0.00 0.00
0.00 0.00
2216.82 350.33
2555.15 348.57
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
