# cx cy
0.00 0.00
504.58 87.26
352.22 162.51
462.36 125.48
0.00 0.00
0.00 0.00
1065.72 155.95
1147.30 131.15
296.81 216.84
575.88 218.06
199.11 287.77
622.96 291.66
957.18 214.83
1106.41 181.84
908.46 287.41
1390.19 300.48
1743.70 51.99
1812.00 16.24
1638.64 126.43
0.00 0.00
2326.00 88.00
0.00 0.00
2266.07 132.90
2809.23 157.00
1524.14 213.72
2135.24 223.15
1467.11 278.19
2057.06 293.32
2194.24 189.40
2750.12 211.05
2475.63 324.03
2684.30 298.61
207.28 369.30
472.67 376.79
358.85 413.42
667.38 467.68
898.24 365.48
1312.68 375.61
815.71 445.54
1303.08 414.68
0.00 0.00
633.20 536.44
0.00 0.00
614.07 616.79
767.40 530.29
0.00 0.00
727.33 575.33
0.00 0.00
1633.72 379.70
2006.10 360.75
0.00 0.00
0.00 0.00
2342.86 368.90
2667.43 351.01
2451.43 415.82
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
