# cx cy
319.15 62.77
388.48 52.49
263.47 140.43
607.75 135.75
755.97 84.87
1161.59 60.36
998.67 140.53
1124.29 121.35
185.26 216.46
633.61 224.61
218.34 317.95
497.62 321.07
977.08 222.08
0.00 0.00
979.67 313.28
1399.71 332.72
1771.87 58.96
1814.36 22.78
1687.48 138.30
2152.73 170.22
2271.84 70.85
2848.07 67.06
2209.76 132.43
2762.48 138.27
1598.93 226.08
2107.96 226.27
1622.70 310.66
1985.37 318.16
2255.40 234.19
2665.92 230.04
2345.21 310.77
2666.68 295.53
232.26 359.07
375.24 358.71
0.00 0.00
0.00 0.00
944.46 401.35
1350.03 364.48
847.33 494.68
0.00 0.00
0.00 0.00
693.83 587.75
0.00 0.00
662.07 675.66
792.14 571.96
0.00 0.00
747.67 643.21
0.00 0.00
1532.05 361.31
1911.70 360.64
0.00 0.00
0.00 0.00
2450.90 360.08
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
