# cx cy
358.13 101.97
437.01 73.90
307.26 152.89
448.82 155.44
1058.22 99.97
1102.84 90.64
899.41 168.73
1092.69 141.47
251.19 259.87
586.94 244.20
196.78 357.11
527.92 356.70
936.69 244.74
1371.05 267.15
881.29 339.33
1301.33 348.70
1644.27 60.75
2122.50 104.00
1523.37 157.38
2077.70 161.02
2188.08 73.02
2765.00 60.51
2140.30 116.54
2646.31 153.68
1450.96 238.50
1986.50 263.69
1602.35 351.23
1960.45 324.58
2344.10 291.57
2556.95 256.04
2294.10 324.62
2577.75 325.98
195.47 416.29
437.87 412.47
0.00 0.00
657.68 554.54
806.26 447.19
1245.68 404.12
740.10 521.08
0.00 0.00
0.00 0.00
592.00 636.75
0.00 0.00
505.18 735.77
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
