# cx cy
337.06 86.67
427.63 56.89
266.02 156.00
522.86 157.16
0.00 0.00
1151.40 89.94
917.18 152.16
1123.88 144.40
200.39 243.95
636.32 244.13
198.74 346.11
478.55 353.34
984.16 241.00
1183.97 231.47
951.97 344.07
1356.15 345.35
1714.70 74.25
0.00 0.00
1625.37 152.10
2131.49 193.28
2270.05 74.90
2796.97 57.33
2194.20 149.06
2702.70 153.37
1515.74 248.36
2096.78 254.70
1619.68 346.44
1974.54 339.79
2307.89 267.99
2629.39 254.89
2312.12 328.68
2628.56 318.21
213.00 392.53
469.41 395.07
0.00 0.00
686.23 557.65
898.13 442.70
1323.72 402.00
800.42 523.88
0.00 0.00
0.00 0.00
641.53 631.28
0.00 0.00
587.94 722.53
751.03 615.90
0.00 0.00
0.00 0.00
0.00 0.00
1464.00 404.51
1852.50 390.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
