# cx cy
344.86 89.85
432.36 63.18
270.32 145.49
458.13 154.00
0.00 0.00
1197.13 75.59
999.37 181.77
1129.10 144.91
241.40 235.89
635.76 235.07
201.23 341.75
531.26 344.02
1020.09 243.84
1427.09 280.88
1007.73 326.12
1383.48 334.59
1736.71 62.62
1804.03 18.88
1633.22 151.27
0.00 0.00
2345.70 79.11
0.00 0.00
2265.10 149.31
2778.25 161.98
1539.03 238.76
2133.43 265.20
1616.60 335.53
1979.50 331.10
2185.71 223.87
2720.66 247.44
2324.32 341.11
2643.69 345.92
206.94 394.35
451.98 391.72
0.00 0.00
703.06 551.57
945.67 424.91
1264.17 394.21
831.73 513.43
0.00 0.00
0.00 0.00
631.56 608.54
0.00 0.00
621.42 708.81
798.38 611.42
0.00 0.00
739.45 670.93
0.00 0.00
1470.81 381.05
0.00 0.00
0.00 0.00
0.00 0.00
2474.30 395.24
2696.72 387.14
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
